,Position,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
17870,2,44.0,21.0,36.0,42.0,25.0,54.0,42.0,26.0,33.0,49.0,65.0,65.0,56.0,44.0,64.0,23.0,53.0,59.0,60.0,28.0,52.0,46.0,42.0,36.0,29.0,35.0,55.0,54.0,54.0,14.0,12.0,11.0,13.0,9.0
10581,0,38.0,68.0,71.0,49.0,61.0,44.0,56.0,42.0,38.0,53.0,57.0,54.0,41.0,66.0,56.0,76.0,56.0,56.0,90.0,57.0,81.0,39.0,68.0,46.0,66.0,58.0,28.0,33.0,28.0,6.0,6.0,11.0,9.0,7.0
6356,3,13.0,10.0,12.0,17.0,12.0,10.0,17.0,16.0,12.0,20.0,57.0,54.0,64.0,64.0,56.0,25.0,60.0,38.0,74.0,13.0,21.0,12.0,10.0,34.0,25.0,50.0,15.0,14.0,12.0,66.0,69.0,65.0,68.0,71.0
1824,2,65.0,45.0,72.0,71.0,33.0,65.0,37.0,22.0,55.0,70.0,79.0,90.0,63.0,72.0,60.0,51.0,82.0,74.0,74.0,31.0,62.0,75.0,63.0,53.0,26.0,63.0,74.0,74.0,72.0,8.0,12.0,10.0,7.0,7.0
8142,1,52.0,61.0,50.0,71.0,31.0,71.0,38.0,42.0,62.0,72.0,67.0,68.0,63.0,64.0,54.0,66.0,60.0,61.0,58.0,64.0,52.0,65.0,57.0,67.0,48.0,57.0,35.0,65.0,53.0,5.0,12.0,6.0,15.0,10.0
6599,2,64.0,26.0,59.0,62.0,54.0,53.0,58.0,55.0,63.0,63.0,73.0,72.0,68.0,67.0,64.0,56.0,68.0,85.0,68.0,41.0,56.0,62.0,53.0,47.0,35.0,60.0,67.0,73.0,65.0,10.0,9.0,6.0,7.0,10.0
6991,1,48.0,49.0,60.0,69.0,35.0,46.0,40.0,40.0,63.0,62.0,47.0,52.0,57.0,69.0,61.0,80.0,56.0,74.0,83.0,55.0,75.0,66.0,43.0,51.0,40.0,63.0,71.0,68.0,58.0,15.0,9.0,16.0,13.0,9.0
15246,3,14.0,8.0,13.0,29.0,10.0,10.0,14.0,14.0,22.0,12.0,30.0,30.0,32.0,53.0,32.0,23.0,60.0,28.0,63.0,10.0,25.0,15.0,7.0,42.0,12.0,49.0,8.0,14.0,12.0,57.0,61.0,57.0,60.0,61.0
14569,2,30.0,49.0,63.0,52.0,31.0,32.0,36.0,29.0,46.0,56.0,45.0,58.0,50.0,57.0,59.0,52.0,67.0,73.0,61.0,29.0,61.0,58.0,44.0,47.0,48.0,52.0,60.0,64.0,57.0,8.0,11.0,11.0,16.0,8.0
12548,1,37.0,42.0,70.0,64.0,25.0,49.0,30.0,28.0,54.0,55.0,59.0,54.0,62.0,57.0,62.0,41.0,69.0,72.0,73.0,37.0,56.0,65.0,37.0,57.0,38.0,65.0,65.0,68.0,64.0,9.0,15.0,13.0,11.0,10.0
829,1,75.0,59.0,33.0,77.0,71.0,77.0,73.0,75.0,79.0,77.0,79.0,75.0,77.0,78.0,87.0,80.0,77.0,82.0,69.0,76.0,80.0,74.0,72.0,77.0,55.0,75.0,67.0,74.0,70.0,8.0,11.0,14.0,16.0,12.0
494,2,81.0,46.0,72.0,83.0,62.0,73.0,84.0,62.0,83.0,80.0,62.0,53.0,72.0,84.0,75.0,68.0,72.0,83.0,74.0,62.0,72.0,83.0,66.0,76.0,56.0,81.0,78.0,81.0,77.0,12.0,9.0,10.0,14.0,10.0
3646,0,67.0,69.0,58.0,65.0,73.0,81.0,82.0,62.0,62.0,77.0,84.0,83.0,77.0,64.0,71.0,78.0,65.0,66.0,66.0,79.0,68.0,23.0,58.0,61.0,45.0,62.0,34.0,22.0,23.0,15.0,16.0,8.0,10.0,16.0
12643,0,52.0,63.0,62.0,59.0,51.0,61.0,49.0,50.0,38.0,64.0,68.0,75.0,62.0,62.0,63.0,58.0,68.0,66.0,72.0,55.0,28.0,13.0,58.0,50.0,64.0,59.0,35.0,14.0,12.0,7.0,7.0,13.0,14.0,6.0
15469,1,43.0,31.0,61.0,62.0,37.0,58.0,37.0,37.0,63.0,60.0,58.0,48.0,48.0,46.0,65.0,59.0,68.0,72.0,70.0,43.0,63.0,52.0,53.0,58.0,61.0,56.0,61.0,57.0,46.0,10.0,8.0,6.0,9.0,5.0
7356,1,70.0,57.0,31.0,70.0,52.0,66.0,68.0,68.0,65.0,68.0,81.0,80.0,87.0,62.0,92.0,64.0,90.0,72.0,37.0,64.0,46.0,22.0,61.0,68.0,64.0,64.0,49.0,38.0,45.0,11.0,11.0,7.0,7.0,10.0
5083,0,66.0,73.0,43.0,65.0,59.0,71.0,61.0,52.0,63.0,69.0,80.0,86.0,74.0,70.0,75.0,77.0,67.0,61.0,56.0,61.0,40.0,28.0,62.0,60.0,55.0,56.0,45.0,35.0,34.0,9.0,16.0,13.0,12.0,9.0
6269,2,49.0,32.0,64.0,70.0,33.0,59.0,43.0,35.0,63.0,63.0,62.0,69.0,70.0,63.0,67.0,57.0,78.0,65.0,65.0,28.0,73.0,71.0,35.0,65.0,54.0,61.0,68.0,70.0,68.0,13.0,10.0,11.0,15.0,6.0
13150,2,27.0,30.0,54.0,59.0,27.0,55.0,28.0,26.0,56.0,57.0,62.0,64.0,52.0,59.0,58.0,30.0,68.0,56.0,69.0,24.0,50.0,67.0,48.0,47.0,39.0,54.0,65.0,60.0,58.0,10.0,5.0,12.0,13.0,9.0
7695,1,58.0,65.0,48.0,67.0,56.0,70.0,71.0,73.0,60.0,68.0,73.0,75.0,78.0,66.0,71.0,78.0,74.0,63.0,57.0,66.0,51.0,23.0,59.0,66.0,58.0,61.0,45.0,23.0,27.0,12.0,6.0,11.0,6.0,16.0
9198,2,60.0,19.0,47.0,57.0,23.0,51.0,59.0,28.0,56.0,56.0,69.0,66.0,65.0,60.0,68.0,35.0,77.0,75.0,69.0,20.0,70.0,67.0,28.0,31.0,20.0,52.0,64.0,70.0,75.0,15.0,9.0,8.0,9.0,10.0
8333,2,27.0,16.0,75.0,60.0,23.0,32.0,21.0,26.0,35.0,41.0,53.0,37.0,47.0,66.0,43.0,37.0,42.0,58.0,91.0,23.0,52.0,73.0,26.0,28.0,40.0,53.0,65.0,67.0,60.0,11.0,8.0,10.0,13.0,8.0
18106,3,11.0,7.0,10.0,24.0,5.0,8.0,10.0,13.0,17.0,10.0,27.0,30.0,26.0,47.0,48.0,20.0,64.0,25.0,37.0,5.0,17.0,4.0,8.0,38.0,18.0,30.0,7.0,12.0,11.0,47.0,55.0,58.0,45.0,50.0
3941,1,65.0,49.0,48.0,73.0,57.0,73.0,63.0,55.0,77.0,75.0,75.0,69.0,87.0,68.0,87.0,61.0,83.0,90.0,67.0,60.0,74.0,68.0,58.0,69.0,49.0,67.0,67.0,65.0,63.0,15.0,12.0,11.0,7.0,15.0
9455,2,31.0,50.0,69.0,48.0,47.0,51.0,54.0,49.0,49.0,56.0,55.0,64.0,35.0,62.0,45.0,56.0,56.0,62.0,91.0,51.0,71.0,69.0,47.0,38.0,55.0,57.0,62.0,58.0,56.0,14.0,8.0,16.0,8.0,11.0
6573,1,58.0,69.0,39.0,71.0,55.0,72.0,57.0,55.0,68.0,70.0,79.0,77.0,76.0,62.0,70.0,52.0,72.0,70.0,68.0,65.0,58.0,60.0,69.0,68.0,53.0,64.0,67.0,58.0,42.0,9.0,15.0,14.0,9.0,9.0
8274,1,62.0,56.0,65.0,67.0,43.0,66.0,60.0,62.0,64.0,67.0,77.0,81.0,70.0,65.0,67.0,65.0,77.0,71.0,72.0,56.0,60.0,72.0,64.0,68.0,57.0,66.0,67.0,56.0,52.0,11.0,13.0,13.0,16.0,7.0
867,1,80.0,75.0,49.0,79.0,72.0,80.0,75.0,67.0,75.0,83.0,74.0,77.0,80.0,70.0,81.0,73.0,70.0,77.0,58.0,74.0,39.0,42.0,70.0,80.0,70.0,80.0,50.0,45.0,52.0,10.0,8.0,9.0,14.0,9.0
11009,2,48.0,34.0,64.0,64.0,34.0,56.0,36.0,34.0,60.0,63.0,63.0,69.0,55.0,58.0,64.0,55.0,75.0,75.0,68.0,41.0,62.0,59.0,42.0,49.0,57.0,63.0,60.0,62.0,62.0,9.0,7.0,8.0,14.0,13.0
7599,2,23.0,24.0,71.0,66.0,21.0,38.0,26.0,17.0,54.0,52.0,40.0,34.0,35.0,66.0,29.0,43.0,59.0,56.0,86.0,20.0,71.0,68.0,26.0,24.0,29.0,60.0,69.0,63.0,60.0,9.0,10.0,12.0,11.0,5.0
1036,2,74.0,30.0,69.0,74.0,35.0,72.0,68.0,33.0,67.0,73.0,78.0,84.0,69.0,69.0,64.0,57.0,86.0,69.0,79.0,52.0,72.0,76.0,59.0,60.0,45.0,71.0,75.0,79.0,81.0,10.0,7.0,14.0,11.0,15.0
6781,1,52.0,58.0,52.0,70.0,48.0,59.0,67.0,54.0,73.0,68.0,66.0,65.0,68.0,62.0,57.0,66.0,58.0,78.0,68.0,64.0,73.0,69.0,54.0,67.0,46.0,67.0,68.0,68.0,66.0,14.0,6.0,6.0,9.0,8.0
1713,2,30.0,29.0,74.0,65.0,24.0,49.0,46.0,41.0,60.0,55.0,43.0,49.0,42.0,71.0,35.0,60.0,76.0,66.0,69.0,41.0,72.0,82.0,26.0,33.0,43.0,68.0,75.0,81.0,79.0,12.0,5.0,7.0,6.0,8.0
10547,2,60.0,25.0,63.0,66.0,33.0,61.0,30.0,30.0,63.0,61.0,69.0,69.0,58.0,60.0,58.0,48.0,72.0,70.0,72.0,37.0,50.0,60.0,61.0,40.0,42.0,55.0,64.0,66.0,64.0,13.0,15.0,10.0,13.0,10.0
6113,0,59.0,70.0,59.0,67.0,67.0,68.0,56.0,51.0,43.0,66.0,82.0,79.0,74.0,64.0,71.0,68.0,69.0,61.0,59.0,63.0,42.0,22.0,70.0,54.0,74.0,58.0,30.0,22.0,24.0,9.0,8.0,11.0,11.0,7.0
16995,3,18.0,11.0,11.0,27.0,11.0,16.0,18.0,14.0,28.0,22.0,39.0,40.0,40.0,38.0,35.0,18.0,50.0,17.0,30.0,10.0,15.0,6.0,4.0,25.0,30.0,22.0,9.0,18.0,16.0,59.0,58.0,56.0,55.0,57.0
12781,1,60.0,51.0,49.0,58.0,51.0,64.0,53.0,48.0,53.0,62.0,89.0,89.0,92.0,46.0,90.0,63.0,51.0,72.0,46.0,46.0,45.0,28.0,55.0,53.0,55.0,51.0,28.0,36.0,32.0,13.0,10.0,6.0,9.0,13.0
13706,2,56.0,50.0,43.0,64.0,40.0,58.0,52.0,48.0,61.0,59.0,78.0,80.0,92.0,55.0,90.0,54.0,70.0,73.0,51.0,53.0,67.0,53.0,56.0,50.0,54.0,45.0,62.0,63.0,56.0,14.0,10.0,6.0,14.0,10.0
17030,2,47.0,26.0,38.0,32.0,22.0,47.0,31.0,34.0,27.0,34.0,60.0,84.0,82.0,50.0,84.0,29.0,87.0,58.0,42.0,29.0,45.0,47.0,43.0,33.0,30.0,56.0,67.0,59.0,59.0,15.0,10.0,10.0,12.0,13.0
2346,2,76.0,49.0,68.0,75.0,45.0,71.0,67.0,59.0,68.0,74.0,72.0,67.0,70.0,77.0,78.0,59.0,38.0,64.0,57.0,53.0,83.0,76.0,66.0,64.0,51.0,70.0,63.0,77.0,78.0,8.0,8.0,13.0,8.0,12.0
7706,1,66.0,64.0,47.0,65.0,56.0,64.0,58.0,53.0,55.0,69.0,75.0,69.0,79.0,67.0,64.0,63.0,61.0,66.0,64.0,68.0,62.0,44.0,67.0,64.0,70.0,59.0,25.0,27.0,23.0,10.0,10.0,8.0,6.0,9.0
2859,1,73.0,65.0,57.0,65.0,66.0,76.0,78.0,79.0,63.0,74.0,83.0,81.0,84.0,76.0,91.0,75.0,71.0,71.0,45.0,76.0,66.0,35.0,68.0,60.0,73.0,67.0,23.0,38.0,35.0,14.0,9.0,15.0,11.0,12.0
6626,1,65.0,62.0,64.0,70.0,68.0,68.0,60.0,60.0,67.0,68.0,73.0,71.0,66.0,64.0,86.0,70.0,69.0,72.0,60.0,68.0,61.0,64.0,63.0,68.0,60.0,66.0,54.0,60.0,58.0,10.0,9.0,7.0,15.0,7.0
1693,2,75.0,50.0,70.0,76.0,70.0,69.0,73.0,66.0,74.0,76.0,69.0,72.0,74.0,72.0,74.0,70.0,72.0,76.0,68.0,66.0,75.0,72.0,70.0,74.0,65.0,78.0,75.0,75.0,75.0,8.0,8.0,9.0,6.0,11.0
15253,1,50.0,39.0,54.0,66.0,45.0,59.0,53.0,45.0,65.0,62.0,59.0,55.0,63.0,59.0,58.0,59.0,60.0,59.0,63.0,55.0,60.0,59.0,52.0,55.0,62.0,55.0,55.0,45.0,39.0,12.0,7.0,14.0,10.0,9.0
4426,0,66.0,65.0,53.0,63.0,51.0,77.0,59.0,49.0,57.0,72.0,85.0,85.0,72.0,67.0,70.0,67.0,62.0,74.0,71.0,65.0,40.0,46.0,65.0,65.0,48.0,61.0,21.0,30.0,24.0,16.0,15.0,10.0,12.0,11.0
6922,1,55.0,71.0,48.0,53.0,52.0,75.0,59.0,66.0,59.0,65.0,74.0,52.0,40.0,71.0,63.0,61.0,43.0,55.0,59.0,65.0,40.0,33.0,76.0,75.0,51.0,71.0,28.0,34.0,35.0,13.0,15.0,19.0,11.0,12.0
6093,0,67.0,65.0,66.0,59.0,70.0,62.0,49.0,39.0,47.0,66.0,75.0,82.0,72.0,68.0,58.0,76.0,51.0,71.0,82.0,66.0,75.0,23.0,66.0,52.0,63.0,66.0,27.0,27.0,20.0,12.0,12.0,16.0,16.0,9.0
3746,2,65.0,52.0,71.0,66.0,38.0,57.0,69.0,68.0,68.0,65.0,69.0,67.0,67.0,63.0,70.0,72.0,84.0,63.0,81.0,67.0,80.0,67.0,49.0,55.0,56.0,65.0,70.0,71.0,69.0,9.0,12.0,12.0,11.0,11.0
13186,2,59.0,27.0,50.0,56.0,25.0,55.0,32.0,30.0,55.0,51.0,72.0,66.0,74.0,55.0,71.0,27.0,69.0,85.0,65.0,29.0,75.0,60.0,43.0,51.0,39.0,59.0,59.0,58.0,63.0,8.0,9.0,6.0,13.0,13.0
17062,1,56.0,40.0,26.0,50.0,34.0,55.0,38.0,32.0,42.0,58.0,71.0,76.0,83.0,43.0,66.0,44.0,82.0,71.0,52.0,32.0,32.0,14.0,47.0,46.0,43.0,44.0,38.0,17.0,15.0,14.0,7.0,13.0,11.0,6.0
12731,2,61.0,56.0,47.0,66.0,52.0,61.0,71.0,61.0,60.0,63.0,72.0,70.0,70.0,61.0,67.0,61.0,62.0,79.0,61.0,57.0,60.0,57.0,62.0,65.0,56.0,60.0,58.0,55.0,57.0,14.0,11.0,14.0,14.0,13.0
10462,2,42.0,20.0,65.0,50.0,18.0,38.0,27.0,24.0,49.0,48.0,59.0,59.0,66.0,63.0,63.0,26.0,73.0,76.0,74.0,19.0,66.0,62.0,28.0,44.0,33.0,56.0,64.0,65.0,63.0,13.0,12.0,10.0,7.0,12.0
4176,1,63.0,60.0,64.0,68.0,65.0,65.0,68.0,69.0,75.0,64.0,69.0,69.0,70.0,64.0,66.0,81.0,81.0,85.0,75.0,74.0,70.0,73.0,59.0,59.0,70.0,64.0,70.0,68.0,70.0,7.0,16.0,11.0,7.0,9.0
17551,2,44.0,24.0,42.0,37.0,35.0,57.0,32.0,31.0,24.0,43.0,68.0,72.0,66.0,49.0,72.0,41.0,55.0,58.0,46.0,36.0,55.0,52.0,30.0,32.0,21.0,37.0,46.0,57.0,54.0,8.0,5.0,14.0,13.0,5.0
5343,2,67.0,27.0,60.0,64.0,53.0,62.0,63.0,44.0,60.0,64.0,76.0,77.0,69.0,68.0,77.0,64.0,64.0,83.0,63.0,59.0,71.0,64.0,49.0,36.0,60.0,65.0,71.0,67.0,67.0,12.0,14.0,6.0,7.0,12.0
16864,1,55.0,35.0,47.0,58.0,32.0,60.0,40.0,40.0,57.0,58.0,70.0,73.0,67.0,55.0,65.0,57.0,60.0,68.0,69.0,29.0,61.0,45.0,40.0,46.0,44.0,60.0,50.0,51.0,58.0,11.0,10.0,10.0,13.0,9.0
17132,0,49.0,54.0,44.0,55.0,34.0,56.0,48.0,47.0,48.0,58.0,72.0,67.0,72.0,49.0,66.0,54.0,56.0,67.0,33.0,49.0,50.0,34.0,60.0,47.0,53.0,41.0,31.0,37.0,37.0,5.0,12.0,13.0,10.0,10.0
2917,0,45.0,74.0,76.0,60.0,68.0,67.0,60.0,43.0,42.0,76.0,67.0,70.0,57.0,58.0,59.0,81.0,73.0,67.0,84.0,65.0,52.0,36.0,71.0,54.0,73.0,58.0,54.0,14.0,19.0,9.0,14.0,9.0,14.0,15.0
4794,2,76.0,45.0,70.0,69.0,37.0,66.0,70.0,31.0,67.0,70.0,73.0,75.0,61.0,59.0,70.0,64.0,69.0,71.0,75.0,42.0,69.0,63.0,63.0,59.0,38.0,65.0,65.0,71.0,72.0,12.0,13.0,6.0,8.0,9.0
12911,2,50.0,32.0,51.0,65.0,21.0,58.0,23.0,29.0,54.0,61.0,69.0,73.0,67.0,54.0,66.0,36.0,68.0,74.0,71.0,39.0,70.0,63.0,53.0,31.0,39.0,63.0,62.0,65.0,59.0,11.0,11.0,12.0,16.0,15.0
6570,1,71.0,65.0,46.0,69.0,51.0,65.0,71.0,77.0,67.0,70.0,65.0,68.0,72.0,64.0,77.0,67.0,72.0,54.0,56.0,70.0,45.0,34.0,68.0,70.0,58.0,59.0,58.0,35.0,32.0,5.0,8.0,9.0,5.0,8.0
8166,0,60.0,64.0,35.0,61.0,53.0,70.0,56.0,37.0,53.0,69.0,92.0,91.0,82.0,51.0,83.0,61.0,43.0,74.0,34.0,51.0,49.0,17.0,62.0,55.0,55.0,68.0,25.0,33.0,32.0,13.0,7.0,7.0,10.0,5.0
9056,1,71.0,41.0,48.0,65.0,42.0,66.0,68.0,67.0,64.0,66.0,69.0,73.0,69.0,64.0,76.0,58.0,63.0,74.0,55.0,46.0,56.0,60.0,60.0,56.0,58.0,57.0,58.0,58.0,60.0,8.0,7.0,8.0,6.0,13.0
11983,1,57.0,60.0,34.0,59.0,51.0,70.0,63.0,50.0,52.0,66.0,77.0,73.0,83.0,56.0,78.0,54.0,57.0,56.0,61.0,58.0,49.0,23.0,62.0,60.0,48.0,65.0,36.0,35.0,37.0,7.0,7.0,12.0,8.0,7.0
15849,2,58.0,34.0,52.0,44.0,28.0,59.0,39.0,29.0,33.0,45.0,69.0,64.0,75.0,56.0,80.0,33.0,58.0,56.0,39.0,29.0,64.0,57.0,49.0,39.0,34.0,41.0,55.0,66.0,61.0,12.0,11.0,11.0,8.0,12.0
3991,2,54.0,44.0,73.0,62.0,51.0,51.0,44.0,52.0,66.0,56.0,61.0,61.0,62.0,67.0,62.0,44.0,77.0,56.0,77.0,51.0,77.0,66.0,34.0,42.0,53.0,64.0,68.0,73.0,72.0,12.0,8.0,9.0,8.0,12.0
8922,3,7.0,8.0,6.0,19.0,13.0,16.0,8.0,13.0,23.0,17.0,12.0,13.0,24.0,60.0,32.0,22.0,23.0,14.0,58.0,11.0,19.0,6.0,5.0,27.0,26.0,56.0,16.0,7.0,13.0,57.0,74.0,77.0,63.0,68.0
10,0,62.0,91.0,85.0,83.0,89.0,85.0,77.0,86.0,65.0,89.0,77.0,78.0,78.0,90.0,78.0,88.0,84.0,78.0,84.0,84.0,80.0,39.0,91.0,77.0,88.0,86.0,34.0,42.0,19.0,15.0,6.0,12.0,8.0,10.0
2666,2,49.0,22.0,72.0,66.0,38.0,35.0,42.0,18.0,63.0,58.0,60.0,49.0,62.0,69.0,70.0,57.0,81.0,73.0,77.0,32.0,77.0,74.0,31.0,45.0,46.0,76.0,74.0,74.0,68.0,7.0,12.0,10.0,9.0,13.0
9660,1,68.0,50.0,64.0,68.0,42.0,66.0,43.0,35.0,64.0,70.0,67.0,64.0,57.0,72.0,62.0,67.0,48.0,73.0,67.0,54.0,68.0,72.0,66.0,58.0,44.0,64.0,53.0,52.0,54.0,13.0,6.0,14.0,11.0,7.0
96,1,76.0,75.0,82.0,83.0,78.0,76.0,76.0,68.0,79.0,82.0,60.0,55.0,74.0,84.0,75.0,86.0,85.0,83.0,79.0,85.0,93.0,84.0,80.0,80.0,81.0,81.0,82.0,87.0,86.0,4.0,2.0,4.0,2.0,4.0
10225,2,32.0,29.0,61.0,65.0,30.0,36.0,36.0,34.0,31.0,65.0,58.0,62.0,45.0,55.0,67.0,49.0,65.0,63.0,55.0,26.0,59.0,62.0,25.0,32.0,45.0,55.0,66.0,70.0,72.0,15.0,6.0,14.0,14.0,6.0
8246,1,62.0,59.0,31.0,63.0,54.0,71.0,62.0,36.0,39.0,67.0,88.0,84.0,87.0,62.0,87.0,51.0,66.0,70.0,47.0,38.0,40.0,21.0,62.0,58.0,42.0,67.0,46.0,19.0,22.0,15.0,8.0,14.0,11.0,8.0
1028,1,81.0,67.0,60.0,83.0,84.0,76.0,85.0,86.0,77.0,81.0,58.0,52.0,68.0,67.0,78.0,83.0,77.0,65.0,57.0,81.0,65.0,77.0,66.0,82.0,77.0,70.0,67.0,52.0,48.0,16.0,16.0,9.0,12.0,11.0
11569,3,14.0,5.0,14.0,24.0,6.0,9.0,10.0,11.0,17.0,13.0,30.0,20.0,30.0,52.0,41.0,19.0,64.0,22.0,55.0,7.0,19.0,11.0,5.0,38.0,11.0,44.0,12.0,10.0,12.0,64.0,66.0,61.0,62.0,66.0
2217,0,58.0,73.0,73.0,59.0,68.0,71.0,68.0,67.0,47.0,76.0,62.0,65.0,65.0,68.0,46.0,85.0,67.0,77.0,82.0,72.0,78.0,29.0,74.0,58.0,61.0,65.0,41.0,37.0,22.0,7.0,10.0,12.0,7.0,8.0
14644,1,44.0,39.0,46.0,58.0,33.0,54.0,41.0,34.0,52.0,55.0,65.0,68.0,74.0,64.0,75.0,53.0,77.0,83.0,74.0,32.0,68.0,62.0,49.0,52.0,48.0,52.0,57.0,56.0,55.0,7.0,12.0,11.0,11.0,10.0
1872,1,62.0,44.0,59.0,80.0,53.0,64.0,77.0,81.0,77.0,72.0,53.0,54.0,53.0,69.0,62.0,79.0,78.0,75.0,76.0,78.0,77.0,75.0,59.0,75.0,69.0,69.0,65.0,74.0,68.0,8.0,8.0,6.0,16.0,13.0
5978,1,69.0,65.0,63.0,68.0,64.0,67.0,60.0,61.0,61.0,69.0,63.0,67.0,67.0,71.0,71.0,73.0,71.0,74.0,70.0,72.0,78.0,60.0,71.0,69.0,66.0,62.0,43.0,53.0,48.0,13.0,7.0,9.0,15.0,15.0
5191,0,58.0,64.0,45.0,74.0,46.0,74.0,60.0,51.0,67.0,70.0,74.0,74.0,72.0,64.0,75.0,62.0,52.0,63.0,64.0,58.0,41.0,29.0,67.0,68.0,62.0,65.0,40.0,40.0,46.0,7.0,14.0,8.0,14.0,15.0
5561,0,52.0,72.0,70.0,66.0,67.0,64.0,58.0,43.0,49.0,69.0,60.0,66.0,63.0,67.0,61.0,69.0,70.0,69.0,78.0,61.0,40.0,28.0,71.0,56.0,65.0,62.0,26.0,18.0,24.0,14.0,10.0,12.0,14.0,6.0
4964,1,64.0,52.0,59.0,73.0,50.0,66.0,59.0,49.0,70.0,72.0,58.0,55.0,63.0,70.0,52.0,68.0,63.0,67.0,70.0,70.0,72.0,65.0,62.0,71.0,58.0,74.0,64.0,68.0,62.0,8.0,6.0,15.0,9.0,11.0
11068,3,14.0,13.0,15.0,27.0,16.0,9.0,14.0,18.0,24.0,22.0,38.0,44.0,42.0,58.0,38.0,25.0,55.0,42.0,52.0,15.0,35.0,20.0,13.0,28.0,22.0,38.0,19.0,16.0,16.0,65.0,62.0,62.0,65.0,63.0
16916,0,50.0,49.0,47.0,57.0,46.0,55.0,56.0,34.0,50.0,52.0,78.0,64.0,83.0,53.0,67.0,60.0,56.0,65.0,68.0,53.0,53.0,43.0,56.0,45.0,40.0,37.0,62.0,46.0,49.0,5.0,8.0,14.0,11.0,8.0
14282,0,38.0,63.0,58.0,58.0,48.0,56.0,43.0,30.0,37.0,65.0,72.0,66.0,58.0,53.0,62.0,57.0,74.0,62.0,65.0,47.0,31.0,17.0,62.0,52.0,62.0,50.0,44.0,20.0,12.0,14.0,12.0,13.0,14.0,16.0
8346,1,59.0,60.0,54.0,61.0,59.0,67.0,63.0,44.0,49.0,66.0,83.0,82.0,80.0,67.0,82.0,72.0,89.0,85.0,74.0,62.0,81.0,37.0,66.0,60.0,67.0,63.0,32.0,29.0,24.0,13.0,14.0,12.0,11.0,9.0
17154,3,11.0,8.0,12.0,24.0,9.0,8.0,14.0,12.0,20.0,17.0,23.0,21.0,32.0,44.0,48.0,24.0,58.0,24.0,61.0,9.0,18.0,13.0,5.0,33.0,10.0,22.0,8.0,13.0,14.0,55.0,52.0,54.0,52.0,60.0
8091,0,65.0,66.0,66.0,56.0,58.0,69.0,53.0,36.0,41.0,61.0,73.0,75.0,75.0,60.0,62.0,69.0,70.0,68.0,76.0,59.0,43.0,21.0,63.0,60.0,62.0,48.0,40.0,19.0,18.0,10.0,14.0,14.0,12.0,12.0
7982,1,60.0,56.0,48.0,64.0,55.0,69.0,69.0,48.0,56.0,66.0,80.0,74.0,81.0,63.0,76.0,71.0,65.0,67.0,62.0,62.0,55.0,42.0,67.0,65.0,42.0,55.0,46.0,43.0,50.0,10.0,7.0,12.0,12.0,9.0
17098,1,52.0,51.0,34.0,50.0,35.0,56.0,42.0,38.0,42.0,54.0,75.0,74.0,73.0,43.0,78.0,60.0,55.0,67.0,50.0,44.0,40.0,17.0,45.0,45.0,45.0,49.0,20.0,24.0,21.0,11.0,11.0,10.0,9.0,12.0
193,0,72.0,78.0,80.0,78.0,77.0,82.0,83.0,67.0,58.0,82.0,88.0,91.0,84.0,80.0,77.0,83.0,78.0,78.0,72.0,76.0,60.0,31.0,83.0,74.0,77.0,77.0,44.0,41.0,40.0,7.0,13.0,10.0,11.0,5.0
4885,1,64.0,65.0,50.0,70.0,52.0,68.0,66.0,66.0,65.0,68.0,75.0,71.0,77.0,63.0,77.0,65.0,70.0,71.0,68.0,62.0,54.0,46.0,71.0,73.0,66.0,66.0,42.0,43.0,31.0,12.0,13.0,14.0,8.0,9.0
15545,1,62.0,57.0,44.0,59.0,62.0,53.0,59.0,42.0,58.0,61.0,70.0,72.0,52.0,49.0,81.0,68.0,48.0,53.0,43.0,46.0,31.0,25.0,54.0,51.0,60.0,55.0,29.0,35.0,31.0,12.0,7.0,6.0,7.0,6.0
7490,1,63.0,61.0,59.0,67.0,67.0,67.0,68.0,59.0,64.0,64.0,73.0,83.0,77.0,67.0,83.0,65.0,71.0,68.0,67.0,65.0,42.0,24.0,65.0,67.0,60.0,60.0,36.0,24.0,25.0,8.0,14.0,16.0,7.0,15.0
8110,1,49.0,75.0,68.0,49.0,58.0,56.0,31.0,29.0,48.0,59.0,63.0,67.0,57.0,63.0,56.0,73.0,68.0,70.0,86.0,64.0,56.0,22.0,64.0,52.0,58.0,63.0,34.0,24.0,19.0,14.0,15.0,15.0,15.0,9.0
10407,2,61.0,33.0,57.0,54.0,38.0,61.0,36.0,35.0,47.0,60.0,70.0,73.0,56.0,62.0,65.0,29.0,70.0,70.0,69.0,31.0,58.0,65.0,56.0,39.0,48.0,58.0,60.0,63.0,70.0,12.0,6.0,6.0,15.0,15.0
